Book Sr no.,Title,Subject,Edition,Edition-year,Author,Publisher,Semester,Price,Year of first use,Age,ISBN,Branch,University,Cover1,Cover2,Page1,Page2,Course,
38,Data Warehousing And Mining,Data Mining,,,Dr. Nilesh Patil Mrs Anagha J. Patil ,Tech Neo,Five,285,2021,1,978-93-90904-80-8,Comps,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A03%3A48.923Z-DWM_Nilesh%20Patil_2021_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A03%3A48.936Z-DWM_Nilesh%20Patil_2021_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A03%3A48.956Z-DWM_Nilesh%20Patil_2021_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A03%3A48.964Z-DWM_Nilesh%20Patil_2021_4.jpg,B.Tech,
39,Discrete Mathematics,Mathematics,,,Norman L Biggs,Oxford publication,Three,577,2018,4,978-0-19-871369-2,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A08%3A34.704Z-DM_Norman_2018_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A08%3A34.709Z-DM_Norman_2018_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A08%3A34.732Z-DM_Norman_2018_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A08%3A34.749Z-DM_Norman_2018_4.jpg,B.Tech,
40,Distributed Operating Systems,Operating Systems,2,,Andrew S Tanenbaum,Pearson,,265,2013,9,978-81-775-8179-9,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A10%3A46.040Z-Distributed%20OS_ANDREW_2013_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A10%3A46.047Z-Distributed%20OS_ANDREW_2013_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A10%3A46.067Z-Distributed%20OS_ANDREW_2013_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A10%3A46.076Z-Distributed%20OS_ANDREW_2013_4.jpg,B.Tech,
41,Engineering Chemistry,Chemistry,,,,Wiley India,One,739,2013,9,978-81-265-1988-0,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A13%3A28.653Z-EC_2013_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A13%3A28.737Z-EC_2013_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A13%3A29.042Z-EC_2013_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A13%3A29.062Z-EC_2013_4.jpg,B.Tech,
42,Engineering Chemistry,Chemistry,3,,Dr. B. S. Chauhan,Laxmi Publications,One,675,2017,5,978-8131805794,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A41%3A03.194Z-EC_BS%20CHAUHAN_2017_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A41%3A03.256Z-EC_BS%20CHAUHAN_2017_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A41%3A03.412Z-EC_BS%20CHAUHAN_2017_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A41%3A03.460Z-EC_BS%20CHAUHAN_2017_4.jpg,B.Tech,
43,Engineering Chemistry,Chemistry,,,Dr. S.S. Dara Dr. S.S. Umare,S. Chand,One,425,2012,10,81-219-0359-9,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A20.852Z-EC_SS%20DARA%20%20SS%20UMARE_2012_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A20.877Z-EC_SS%20DARA%20%20SS%20UMARE_2012_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A20.949Z-EC_SS%20DARA%20%20SS%20UMARE_2012_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A20.972Z-EC_SS%20DARA%20%20SS%20UMARE_2012_4.jpg,B.Tech,
44,Engineering Chemistry,Chemistry,,,S.S. Dara,S. Chand,One,360,2009,13,81-219-0359-9,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A49%3A51.098Z-EC_SS%20DARA_2009_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A49%3A51.133Z-EC_SS%20DARA_2009_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A49%3A51.201Z-EC_SS%20DARA_2009_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A49%3A51.217Z-EC_SS%20DARA_2009_4.jpg,B.Tech,
45,Engineering Chemistry-1,Chemistry,1,2019,Prabhakar Keni,Tech-Neo Publications,One,195,2019,3,978-93-89460-12-4,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A59%3A08.979Z-EC1_Prabhakar%20Keni_2019_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A59%3A09.049Z-EC1_Prabhakar%20Keni_2019_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A59%3A09.196Z-EC1_Prabhakar%20Keni_2019_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A59%3A09.216Z-EC1_Prabhakar%20Keni_2019_4.jpg,B.Tech,Cover 2
46,Engineering Chemistry-2,Chemistry,1,2020,Prabhakar Keni,Tech-Neo Publications,Two,240,2020,2,978-93-89835-86-1,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T14%3A04%3A39.398Z-EC2_Prabhakar%20Keni_2020_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T14%3A04%3A39.466Z-EC2_Prabhakar%20Keni_2020_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T14%3A04%3A39.574Z-EC2_Prabhakar%20Keni_2020_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T14%3A04%3A39.601Z-EC2_Prabhakar%20Keni_2020_4.jpg,B.Tech,Cover 2
47,Engineering Drawing,Drawing,5,,N.H. Dubey,Nandu,Two,520,2019,3,978-93-85241-00-0,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A47%3A28.120Z-ED_nh_2019_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A47%3A28.135Z-ED_nh_2019_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A47%3A28.146Z-ED_nh_2019_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A47%3A28.167Z-ED_nh_2019_4.jpg,B.Tech,
48,Engineering Drawing,Drawing,,,M.B. Shah B.C. Rana,Pearson Education,Two,,2016,6,9788129706263,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A43%3A27.165Z-ED_rana_2016_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A43%3A27.180Z-ED_rana_2016_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A43%3A27.195Z-ED_rana_2016_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A43%3A27.205Z-ED_rana_2016_4.jpg,B.Tech,
49,Engineering Drawing-2,Drawing,,,N.H. Dubey,Nandu,Two,200,2017,5,,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A35.086Z-ED_nh_2017_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A35.097Z-ED_nh_2017_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A35.115Z-ED_nh_2017_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A45%3A35.133Z-ED_nh_2017_4.jpg,B.Tech,
50,Engineering Mathematics,Mathematics,,2009,R.M. Baphana Shobha Bavadekar,Tech-Max Publications,Three,365,2018,4,978-81-8407-948-7,Electronics,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A20%3A18.544Z-EM_RM%20BAPHANA_2018_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A20%3A18.550Z-EM_RM%20BAPHANA_2018_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A20%3A18.559Z-EM_RM%20BAPHANA_2018_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T12%3A20%3A18.579Z-EM_RM%20BAPHANA_2018_4.jpg,B.Tech,
51,Engineering Mechanics,Mechanics,12,2017,M.D. Dayal,Dayal,Two,420,2020,2,,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A39%3A00.903Z-EM_md_2020_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A39%3A00.916Z-EM_md_2020_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A39%3A00.938Z-EM_md_2020_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A39%3A00.954Z-EM_md_2020_4.jpg,B.Tech,
52,Engineering Mechanics,Mechanics,,,Prof. P.J. Shah,S. Chand,Two,240,2010,12,81-219-3572-5,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A42%3A05.840Z-EM_PJ%20Shah_2010_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A42%3A05.853Z-EM_PJ%20Shah_2010_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A42%3A05.874Z-EM_PJ%20Shah_2010_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A42%3A05.889Z-EM_PJ%20Shah_2010_4.jpg,B.Tech,
53,Engineering Mechanics,Mechanics,,2011,Schaum's,McGraw Hill,Two,499,2013,9,978-0-07-132129-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A44%3A43.050Z-EM_Schaum_2013_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A44%3A43.062Z-EM_Schaum_2013_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A44%3A43.089Z-EM_Schaum_2013_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A44%3A43.169Z-EM_Schaum_2013_4.jpg,B.Tech,
54,Engineering Mechanics,Mechanics,,2002,S.S. Bhavikatti K.G. Rajashekarappa,New Age International,Two,225,2014,8,978-8122406177,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A46%3A52.931Z-EM_Ss_2014_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A46%3A52.935Z-EM_Ss_2014_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A46%3A52.943Z-EM_Ss_2014_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A46%3A52.960Z-EM_Ss_2014_4.jpg,B.Tech,
55,Engineering Physics-1,Physics,1,2019,Prabhakar Keni,Tech-Neo Publications,One,235,2019,3,978-93-89460-10-0,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A01%3A47.848Z-EP1_Prabhakar%20Keni_2019_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A01%3A47.853Z-EP1_Prabhakar%20Keni_2019_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A01%3A47.860Z-EP1_Prabhakar%20Keni_2019_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A01%3A47.884Z-EP1_Prabhakar%20Keni_2019_4.jpg,B.Tech,
56,Engineering Physics-2,Physics,1,2020,Prabhakar Keni,Tech-Neo Publications,Two,260,2020,2,978-93-89835-85-4,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A03%3A20.901Z-EP2_Prabhakar%20Keni_2020_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A03%3A20.908Z-EP2_Prabhakar%20Keni_2020_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A03%3A20.928Z-EP2_Prabhakar%20Keni_2020_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A03%3A20.937Z-EP2_Prabhakar%20Keni_2020_4.jpg,B.Tech,
57,Hadoop in Action,Database,,,Chuck lam,DreamTech Press,Three,699,2016,6,978-81-7722-813-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A05%3A42.990Z-Hadoop%20in%20action_%20Chuck%20Lam_2016_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A05%3A43.008Z-Hadoop%20in%20action_%20Chuck%20Lam_2016_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A05%3A43.017Z-Hadoop%20in%20action_%20Chuck%20Lam_2016_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A05%3A43.024Z-Hadoop%20in%20action_%20Chuck%20Lam_2016_4.jpg,B.Tech,
58,Introducing Data Science,Data Science,,,Davy Cielen Arnoi D. B. Meysman Mohamed Ali,Dream Tech,,599,2019,3,978-93-5119-937-3,IT,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A10%3A34.526Z-DS_davy_2019_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A10%3A34.538Z-DS_davy_2019_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A10%3A34.554Z-DS_davy_2019_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T13%3A10%3A34.560Z-DS_davy_2019_4.jpg,B.Tech,
59,Network Security and Cryptography,Cryptography Network Security,,2011,Bernard Menezes,Cengage Learning,Five,599,2015,7,978-81-315-1349-1,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A19%3A33.806Z-Net_cengage_2015_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A19%3A33.877Z-Net_cengage_2015_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A19%3A34.039Z-Net_cengage_2015_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A19%3A34.151Z-Net_cengage_2015_4.jpg,B.Tech,
60,Programming in Java,Java,2,,Sachin Malhotra Saurabh Choudhary,Oxford University Press,Three,525,2017,5,0-19-809485-X,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A21%3A35.840Z-Program%20in%20Java_Sachin%20Malhotra_2017_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A21%3A35.844Z-Program%20in%20Java_Sachin%20Malhotra_2017_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A21%3A35.859Z-Program%20in%20Java_Sachin%20Malhotra_2017_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A21%3A35.870Z-Program%20in%20Java_Sachin%20Malhotra_2017_4.jpg,B.Tech,
61,Programming in Java A Primer,Java,2,,E Balagurusamy,McGraw Hill,Three,210,2013,9,0-07-463542-5,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A23%3A37.753Z-program%20with%20java_balagurusa_2013_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A23%3A37.758Z-program%20with%20java_balagurusa_2013_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A23%3A37.778Z-program%20with%20java_balagurusa_2013_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T11%3A23%3A37.790Z-program%20with%20java_balagurusa_2013_4.jpg,B.Tech,
62,Strength of Materials,Drawing,5,2013,M.D. Dayal,Dayal,Two,420,2018,4,,Civil,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T07%3A31%3A20.430Z-EM_md%20dayal_2018_1.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T07%3A31%3A20.500Z-EM_md%20dayal_2018_2.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T07%3A31%3A20.617Z-EM_md%20dayal_2018_3.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-01-11T07%3A31%3A20.795Z-EM_md%20dayal_2018_4.jpg,B.Tech,
63,Cloud Computing,Cloud,,,"Kailash Jayaswal, Jagannath Kallakurchi, Donald J. Houde, Dr. Deven Shah",DreamTech Press,Six,649,2016,6,978-93-5119-418-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A35%3A39.716Z-Cloud%20Computing_Kailash%20jayaswal_20161.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A35%3A39.718Z-Cloud%20Computing_Kailash%20jayaswal_20162.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A35%3A39.724Z-Cloud%20Computing_Kailash%20jayaswal_20163.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A35%3A39.730Z-Cloud%20Computing_Kailash%20jayaswal_20164.jpg,B.Tech,
64,Cloud Computing: A Practical Approach,Cloud,,,"Anthony T. Velte, Toby J. Velte, Robert Elsenpeter",McGraw Hill,Six,,2015,7,,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A37%3A34.121Z-Cloud%20Computing_Toby%20Velte%20%20Robert%20Elsenpeter_%2020151.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A37%3A34.123Z-Cloud%20Computing_Toby%20Velte%20%20Robert%20Elsenpeter_%2020151.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A37%3A34.128Z-Cloud%20Computing_Toby%20Velte%20%20Robert%20Elsenpeter_%2020152.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A37%3A34.133Z-Cloud%20Computing_Toby%20Velte%20%20Robert%20Elsenpeter_%2020153.jpg,B.Tech,
65,Cloud Security,Cloud,,,"Ronald L. Krutz, Russell Dean Vines",Wiley,Six,699,2021,1,978-81-265-2809-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A39%3A39.833Z-Cloud%20Security_Ronald%20Krutz_20211.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A39%3A39.836Z-Cloud%20Security_Ronald%20Krutz_20212.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A39%3A39.840Z-Cloud%20Security_Ronald%20Krutz_20213.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A39%3A39.845Z-Cloud%20Security_Ronald%20Krutz_20214.jpg,B.Tech,
66,Parallel Computing,Parallel Computing,2,,M.R. Bhujade,New Age International,Six,190,2012,10,978-81-224-2387-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A32%3A00.672Z-Cloud_bujade_20121.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A32%3A00.677Z-Cloud_bujade_20122.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A32%3A00.716Z-Cloud_bujade_20123.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A32%3A00.741Z-Cloud_bujade_20124.jpg,B.Tech,
67,Computer Network: A System Approach,Computer Networks,3,,"Larry L. Peterson, Bruce S. Davie",Morgan kaufmann,,,2006,16,81-8147-206-3,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A42%3A41.914Z-CN_larry_bruce_20061.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A42%3A41.916Z-CN_larry_bruce_20064.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A42%3A41.923Z-CN_larry_bruce_20062.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A42%3A41.928Z-CN_larry_bruce_20063.jpg,B.Tech,
68,Computer Network: A Systems Approach,Computer Networks,5,,"Larry L. Peterson, Bruce S. Davie",Morgan kaufmann,,,2021,1,81-8147-206-3,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A44%3A12.609Z-cn_morgan_kauffman_20211.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A44%3A12.611Z-cn_morgan_kauffman_20211.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A44%3A12.616Z-cn_morgan_kauffman_20212.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A44%3A12.620Z-cn_morgan_kauffman_20213.jpg,B.Tech,
69,Computer Network,Computer Networks,,2016,Udit Agawal,Gagan Kapur,,300,2020,2,,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A47%3A07.874Z-computer%20Network_Udit%20Agarwal_%2020201.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A47%3A07.876Z-computer%20Network_Udit%20Agarwal_%2020202.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A47%3A07.880Z-computer%20Network_Udit%20Agarwal_%2020203.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A47%3A07.885Z-computer%20Network_Udit%20Agarwal_%2020204.jpg,B.Tech,
70,Intoducing Data Science,Data Science,,2016,Davy Cielen Arnoi D. B. Meysman Mohamed Ali,DreamTech Press,,,2018,4,978-93-5119-937-3,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A48%3A51.931Z-intro%20to%20data%20science_davy%20and%20ali_20181.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A48%3A51.933Z-intro%20to%20data%20science_davy%20and%20ali_20182.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A48%3A51.938Z-intro%20to%20data%20science_davy%20and%20ali_20183.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A48%3A51.942Z-intro%20to%20data%20science_davy%20and%20ali_20184.jpg,B.Tech,
71,Object-Oriented Softwware Enginering,Java,,2009,"Timothy C. lethbridge, Robert Laganiere",McGraw Hill,Three,,2010,12,978-0-07-058754-0,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A50%3A49.974Z-oop_lethbridge%20and%20laganiere_20101.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A50%3A49.976Z-oop_lethbridge%20and%20laganiere_20102.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A50%3A49.980Z-oop_lethbridge%20and%20laganiere_20103.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A50%3A49.984Z-oop_lethbridge%20and%20laganiere_20104.jpg,B.Tech,
72,Object-Oriented Programming Methodology,,,2013,Harish G. Narula,Tech-Max Publications,Three,275,2014,8,978-93-5077-253-9,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A53%3A10.381Z-oop_narula_20141.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A53%3A10.382Z-oop_narula_20142.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A53%3A10.385Z-oop_narula_20143.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A53%3A10.389Z-oop_narula_20144.jpg,B.Tech,
73,Operating Systems,Operating Systems,2,,Milan Milenkovic,McGraw Hill,,,2009,13,978-0-07-463272-7,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A55%3A13.062Z-OS_Milan%20Milenkovic_20091.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A55%3A13.064Z-OS_Milan%20Milenkovic_20091.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A55%3A13.071Z-OS_Milan%20Milenkovic_20092.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A55%3A13.080Z-OS_Milan%20Milenkovic_20093.jpg,B.Tech,
74,Operating Systems,Operating Systems,2,,Milan Milenkovic,McGraw Hill,,,2014,8,978-0-07-463272-8,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A58%3A50.634Z-OS_milan_20141.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A58%3A50.636Z-OS_milan_20142.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A58%3A50.642Z-OS_milan_20143.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T12%3A58%3A50.645Z-OS_milan_20144.jpg,B.Tech,
75,Operating System Concepts,Operating Systems,9,2016,"Abraham Silberschatz, Peter B Galvin, Gerg Gagne",Wiley,,,2011,11,978-81-265-5427-0,I.T,MU,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T13%3A01%3A05.391Z-OS_Peter%20and%20abraham_20111.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T13%3A01%3A05.392Z-OS_Peter%20and%20abraham_20112.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T13%3A01%3A05.401Z-OS_Peter%20and%20abraham_20113.jpg,https://secondhandbookimages.s3.ap-south-1.amazonaws.com/2022-04-04T13%3A01%3A05.406Z-OS_Peter%20and%20abraham_20114.jpg,B.Tech,
